Ticker;Company Name;Beyond;News;Dnews;Date of annoucement ;recources;D1;D2;D3;D5;D10;D20;Beta;M1;M2;M3;M5;M10;M20
MCW;Mister Car Wash;NA;NA;NA;14/09/2023;;0,014876033;-0,009771987;-0,008223684;-0,021922428;-0,005524862;-0,031304348;1,207;0,008622427;-0,015520917;0,000586418;-0,009193377;0,000399173;0,004096286
XPER;Xperi, Inc.;NA;NA;NA;22/09/2023;;-0,004985045;-0,003006012;-0,045226131;-0,008324662;-0,020386266;-0,019296254;0,8226;-0,002248545;0,004205195;-0,014691252;0,005797442;-0,000376772;
STEL;Stellar Bancorp;NA;NA;NA;07/09/2023;;0,009302326;0,007834101;-0,014631916;0,000931966;-0,016525024;0,026066351;0,6187;-0,003070234;0,001506126;0,006576585;0,001165945;-0,009193377;0,007281956
LESL;Leslie's;NA;NA;NA;22/09/2023;;0,026584867;0,043824701;-0,017175573;0,043726236;0,01369863;-0,009057971;1,2787;-0,002248545;0,004205195;-0,014691252;0,005797442;-0,000376772;
HPP;Hudson Pacific Properties;NA;NA;NA;12/09/2023;;-0,026462396;-0,020028612;0,02189781;-0,042857143;0,010703364;0,015332198;1,2074;-0,005485561;0,001165945;0,008622427;0,000586418;0,004205195;0,006402198
MCY;Mercury General;NA;NA;NA;11/09/2023;;0,019223923;0,02025847;-0,001369394;-0,01260218;0,00855615;0,008167614;0,4564;0,006576585;-0,005485561;0,001165945;-0,015520917;-0,002248545;0,011872792
AEO;American Eagle Outfitters;NA;NA;NA;19/07/2023;;0,029571984;-0,002267574;-0,023484848;-0,011252813;0,042704626;0,002512563;1,3662;0,002223739;-0,006634446;0;0,002730075;-0,002861574;-0,011648925
MTX;Minerals Technology;NA;NA;NA;07/09/2023;;-0,020251397;-0,027797577;0,020010089;0,010305484;0,627667269;0,030565963;0,983;-0,003070234;0,001506126;0,006576585;0,001165945;-0,009193377;0,007281956
OUT;Outfront Media;NA;NA;NA;13/09/2023;;-0,02340824;0,043144775;-0,006227758;0,015311005;0,122211445;0,031358885;1,3382;0,001165945;0,008622427;-0,015520917;-0,0020738;-0,014691252;0,005204839
CPRX;Catalyst Pharmaceuticals;NA;NA;NA;19/09/2023;;0,007131537;-0,041699449;-0,003462604;0,002479339;-3,783575706;0,036776213;1,057;-0,0020738;-0,009193377;-0,01652836;0,004205195;-0,000397679;0,010521437
CLFD;Clearfield;NA;NA;NA;14/06/2023;;-0,040636783;0,020524017;0,077747989;-0,035052377;0,620382442;-0,001071123;1,6799;0,001190858;0,012397639;-0,007094442;-0,005123748;0,00050439;0,007936864
AHCO;AdaptHealth;NA;NA;NA;18/09/2023;;-0,020533881;0,002096436;-0,053402239;-0,006928406;-0,17081448;-0,009320905;1,0919;0,000586418;-0,0020738;-0,009193377;-0,002248545;-0,002426958;-0,004980861
SIX;Six Flags;NA;NA;NA;13/09/2023;;-0,028951487;0,015310234;-0,018477783;-0,019689987;-0,702109705;0,006628369;1,5001;0,001165945;0,008622427;-0,015520917;-0,0020738;-0,014691252;0,005204839
SHO;Sunstone Hotel Investors;NA;NA;NA;18/09/2023;;-0,004291845;-0,004310345;-0,01594533;-0,007760532;0,984210526;-0,013727561;1,1578;0,000586418;-0,0020738;-0,009193377;-0,002248545;-0,002426958;-0,004980861
GRBK;Green Brick Partners;NA;NA;NA;11/09/2023;;-0,001534751;-0,015151515;-0,01539924;-0,041480821;0,997600768;0,006686478;1,4807;0,006576585;-0,005485561;0,001165945;-0,015520917;-0,002248545;0,011872792
FTDR;Frontdoor, Inc.;NA;NA;NA;12/09/2023;;-0,001555694;-0,011530072;-0,002893519;-0,000960615;0,984615385;0,000980072;0,8198;-0,005485561;0,001165945;0,008622427;0,000586418;0,004205195;0,006402198
